99810 9099
3 6377 3.0
3 7153 2.5
3 7361 3.0
3 8622 3.5
3 8636 3.0
3 27369 3.5
3 44191 3.5
3 48783 4.5
3 50068 4.5
3 58559 3.0
3 84236 4.0
4 10 4.0
4 34 5.0
4 112 5.0
4 141 5.0
4 153 4.0
4 173 3.0
4 185 3.0
4 260 5.0
4 289 4.0
4 296 5.0
4 329 3.0
4 349 5.0
4 356 5.0
4 357 5.0
4 364 5.0
4 367 4.0
4 380 3.0
4 410 3.0
4 431 3.0
4 434 4.0
4 435 1.0
4 440 4.0
4 442 4.0
4 464 4.0
4 480 5.0
4 541 5.0
4 588 5.0
4 589 5.0
4 590 3.0
4 594 5.0
4 596 5.0
4 610 4.0
4 616 5.0
4 858 5.0
4 903 5.0
4 910 4.0
4 913 5.0
4 919 5.0
4 1011 4.0
4 1016 4.0
4 1022 5.0
4 1028 5.0
4 1030 5.0
4 1031 5.0
4 1032 5.0
4 1033 5.0
4 1036 5.0
4 1073 5.0
4 1079 5.0
4 1089 5.0
4 1097 5.0
4 1125 5.0
4 1127 5.0
4 1136 5.0
4 1194 5.0
4 1196 5.0
4 1197 5.0
4 1198 5.0
4 1200 5.0
4 1206 5.0
4 1208 5.0
4 1210 5.0
4 1213 5.0
4 1214 5.0
4 1219 5.0
4 1220 5.0
4 1222 5.0
4 1225 5.0
4 1230 5.0
4 1240 5.0
4 1243 5.0
4 1257 5.0
4 1258 5.0
4 1259 4.0
4 1265 5.0
4 1270 5.0
4 1278 5.0
4 1282 5.0
4 1285 4.0
4 1288 5.0
4 1291 5.0
4 1298 4.0
4 1307 4.0
4 1332 4.0
4 1334 5.0
4 1344 5.0
4 1356 4.0
4 1371 4.0
4 1372 3.0
4 1374 4.0
4 1376 3.0
4 1377 3.0
4 1380 5.0
4 1387 5.0
4 1388 4.0
4 1396 5.0
4 1544 3.0
4 1580 5.0
4 1663 4.0
4 1674 5.0
4 1805 1.0
4 1858 5.0
4 1917 4.0
4 1918 2.0
4 1953 5.0
4 1954 5.0
4 1961 5.0
4 1967 3.0
4 1968 5.0
4 1994 5.0
4 2000 5.0
4 2002 3.0
4 2003 2.0
4 2005 5.0
4 2014 4.0
4 2018 5.0
4 2020 4.0
4 2021 4.0
4 2033 4.0
4 2034 4.0
4 2046 5.0
4 2054 3.0
4 2064 5.0
4 2078 5.0
4 2080 5.0
4 2081 4.0
4 2085 5.0
4 2086 5.0
4 2087 5.0
4 2091 5.0
4 2094 4.0
4 2096 5.0
4 2100 5.0
4 2102 5.0
4 2105 4.0
4 2109 5.0
4 2110 3.0
4 2114 5.0
4 2115 5.0
4 2124 4.0
4 2140 5.0
4 2141 4.0
4 2143 4.0
4 2144 5.0
4 2161 5.0
4 2174 5.0
4 2193 3.0
4 2194 5.0
4 2248 4.0
4 2263 3.0
4 2268 5.0
4 2289 5.0
4 2348 4.0
4 2371 4.0
4 2403 4.0
4 2406 5.0
4 2409 4.0
4 2454 5.0
4 2467 5.0
4 2551 4.0
4 2616 1.0
4 2628 5.0
4 2640 5.0
4 2659 3.0
4 2683 4.0
4 2699 4.0
4 2716 5.0
4 2723 5.0
4 2734 4.0
4 2770 1.0
4 2788 5.0
4 2791 5.0
4 2795 4.0
4 2797 5.0
4 2804 5.0
4 2822 3.0
4 2867 3.0
4 2872 5.0
4 2877 5.0
4 2902 2.0
4 2903 1.0
4 2916 4.0
4 2918 5.0
4 2968 5.0
4 2986 3.0
4 2987 5.0
4 2991 5.0
4 3016 3.0
4 3034 5.0
4 3039 4.0
4 3040 5.0
4 3060 5.0
4 3071 4.0
4 3101 4.0
4 3104 4.0
4 3108 5.0
4 3169 4.0
4 3208 2.0
4 3210 4.0
4 3251 5.0
4 3255 4.0
4 3263 3.0
4 3265 5.0
4 4006 2.0
5 3 4.0
5 39 4.0
5 104 4.0
5 141 4.0
5 150 4.0
5 231 3.5
5 277 4.5
5 344 3.5
5 356 4.0
5 364 4.0
5 367 4.0
5 377 4.0
5 440 4.0
5 500 4.5
5 586 4.0
5 588 3.5
5 595 4.0
5 597 5.0
5 788 3.5
5 858 2.5
5 903 3.5
5 919 4.0
5 1022 4.0
5 1035 5.0
5 1193 3.0
5 1221 2.5
5 1247 4.0
5 1307 4.0
5 1380 5.0
5 1393 3.5
5 1485 4.5
5 1544 3.5
5 1682 4.0
5 1721 4.0
5 1777 4.0
5 1784 4.5
5 1923 4.5
5 1961 4.0
5 1968 4.0
5 1997 3.5
5 2023 1.5
5 2081 5.0
5 2273 4.0
5 2294 4.0
5 2355 3.5
5 2424 4.0
5 2502 3.5
5 2683 4.0
5 2694 4.5
5 2706 4.0
5 2762 3.5
5 2770 3.5
5 2918 3.5
5 2997 3.5
5 3114 3.5
5 3176 3.5
5 3408 4.0
5 3753 3.5
5 3897 4.5
5 3948 3.5
5 4014 4.0
5 4018 4.0
5 4022 3.5
5 4025 4.5
5 4306 3.5
5 4308 3.5
5 4447 4.5
5 4718 3.5
5 4963 3.0
5 4995 4.5
5 5266 3.5
5 5299 4.5
5 5349 4.5
5 5464 4.0
5 5669 3.5
5 5679 4.5
5 5816 3.0
5 5995 4.0
5 6218 3.5
5 6373 4.0
5 6377 4.0
5 6502 4.0
5 6711 2.5
5 6942 4.0
5 8376 4.0
5 8464 4.0
5 8622 3.5
5 8636 4.5
5 8644 4.0
5 30707 4.5
5 30749 4.5
5 30793 3.5
5 33166 5.0
5 33679 4.0
5 34162 4.5
5 35836 4.0
5 40819 4.5
5 41566 4.0
5 41569 4.0
5 48385 4.5
6 111 4.0
6 158 2.0
6 173 2.0
6 293 5.0
6 596 4.0
6 903 4.0
6 1204 5.0
6 1250 4.5
6 1259 4.5
6 1276 4.5
6 1285 4.5
6 1358 2.0
6 1639 2.0
6 1687 2.0
6 1747 2.0
6 1876 0.5
6 1909 3.0
6 2001 3.0
6 2019 4.0
6 2072 4.0
6 2174 4.0
6 2502 3.5
6 2528 3.0
6 2529 4.0
6 2571 1.0
6 2657 2.0
6 2692 4.0
6 2723 3.0
6 2761 4.5
6 2890 3.0
6 3052 1.0
6 3114 4.0
6 3300 3.5
6 3751 1.5
6 4641 1.5
6 4975 1.5
6 5952 5.0
6 7090 3.0
6 7153 5.0
6 7361 4.0
6 8368 3.5
6 8636 4.0
6 8784 3.0
6 8874 4.5
7 1 3.0
7 10 3.0
7 21 3.0
7 31 3.0
7 34 4.0
7 40 4.0
7 104 3.0
7 110 5.0
7 112 4.0
7 141 4.0
7 151 4.0
7 198 2.0
7 207 3.0
7 260 5.0
7 272 3.0
7 316 2.0
7 318 5.0
7 329 3.0
7 333 3.0
7 345 3.0
7 355 3.0
7 356 3.0
7 357 3.0
7 364 3.0
7 367 3.0
7 377 3.0
7 380 4.0
7 480 4.0
7 500 3.0
7 534 4.0
7 539 3.0
7 541 4.0
7 551 4.0
7 588 4.0
7 589 3.0
7 590 4.0
7 592 3.0
7 594 4.0
7 595 3.0
7 610 3.0
7 671 4.0
7 708 3.0
7 724 2.0
7 736 1.0
7 737 1.0
7 745 5.0
7 780 3.0
7 786 2.0
7 924 4.0
7 1036 3.0
7 1073 3.0
7 1079 4.0
7 1080 4.0
7 1097 3.0
7 1125 3.0
7 1129 3.0
7 1136 4.0
7 1148 5.0
7 1196 5.0
7 1197 3.0
7 1198 5.0
7 1210 5.0
7 1220 4.0
7 1223 5.0
7 1225 5.0
7 1231 4.0
7 1240 4.0
7 1242 5.0
7 1270 3.0
7 1275 4.0
7 1278 3.0
7 1287 4.0
7 1288 4.0
7 1291 3.0
7 1298 3.0
7 1302 4.0
7 1307 3.0
7 1353 3.0
7 1371 3.0
7 1372 3.0
7 1373 2.0
7 1374 4.0
7 1375 3.0
7 1376 3.0
7 1394 3.0
7 1405 5.0
7 1408 1.0
8 32 5.0
8 45 2.5
8 47 5.0
8 50 5.0
8 110 4.0
8 260 3.5
8 282 2.0
8 296 4.0
8 318 5.0
8 356 4.0
8 457 4.5
8 520 3.5
8 524 2.0
8 527 5.0
8 543 5.0
8 589 4.0
8 593 4.5
8 628 4.0
8 805 3.5
8 858 5.0
8 1196 3.5
8 1197 4.0
8 1198 4.0
8 1210 4.0
8 1219 4.0
8 1225 4.0
8 1258 4.0
8 1259 4.0
8 1265 3.0
8 1270 4.0
8 1291 4.0
8 1302 3.5
8 1358 0.5
8 1387 4.0
8 1393 3.0
8 1500 4.0
8 1552 3.0
8 1617 3.5
8 1625 5.0
8 1674 4.0
8 1704 4.0
8 1754 3.0
8 1777 5.0
8 1876 3.5
8 1961 5.0
8 2028 4.0
8 2100 3.0
8 2139 3.0
8 2194 4.5
8 2302 4.5
8 2324 4.0
8 2329 5.0
8 2353 3.5
8 2423 3.5
8 2502 5.0
8 2571 5.0
8 2716 3.5
8 2762 4.5
8 2770 2.5
8 2791 4.5
8 2797 3.5
8 2804 3.5
8 2841 3.0
8 2858 4.5
8 2918 5.0
8 2959 4.0
8 3147 4.5
8 3578 5.0
8 3916 3.5
8 3948 4.0
8 3996 4.0
8 4011 4.5
8 4019 3.5
8 4034 4.5
8 4226 5.0
8 4262 4.0
8 4448 2.5
8 4886 3.5
8 4896 3.5
8 4963 4.5
8 4973 4.0
8 4993 3.5
8 4995 3.5
8 5064 5.0
8 5378 3.5
8 5445 4.5
8 5464 4.0
8 5630 4.0
8 5650 4.0
8 5669 3.0
8 5952 4.0
8 5989 3.5
8 6377 4.0
8 6378 3.0
8 6870 4.0
8 6874 5.0
8 6879 3.0
8 7143 3.5
8 7153 4.0
8 7361 4.0
8 7438 4.0
8 8533 2.5
8 8784 4.5
8 8873 4.0
8 8874 3.0
8 32587 3.5
8 33166 4.5
8 33493 4.5
8 33794 4.5
8 34162 3.5
8 40583 3.5
8 40819 3.5
8 42007 2.0
8 43556 3.5
8 43871 3.0
8 44004 3.0
9 1 4.0
9 17 4.0
9 26 3.0
9 36 5.0
9 47 3.0
9 318 4.0
9 497 4.0
9 515 4.0
9 527 5.0
9 534 5.0
9 593 4.0
9 608 5.0
9 733 2.0
9 1059 5.0
9 1177 3.0
9 1357 4.0
9 1358 4.0
9 1411 3.0
9 1541 2.0
9 1584 4.0
9 1680 4.0
9 1682 5.0
9 1704 4.0
9 1721 3.0
9 1784 5.0
9 2028 4.0
9 2125 4.0
9 2140 4.0
9 2249 4.0
9 2268 3.0
9 2273 3.0
9 2278 4.0
9 2291 4.0
9 2294 2.0
9 2302 4.0
9 2391 4.0
9 2396 4.0
9 2427 2.0
9 2490 3.0
9 2501 4.0
9 2539 2.0
9 2571 5.0
9 2628 3.0
9 2762 4.0
9 2857 4.0
10 50 5.0
10 152 4.0
10 318 4.0
10 344 3.0
10 345 4.0
10 592 3.0
10 735 4.0
10 1036 3.0
10 1089 3.0
10 1101 2.0
10 1127 4.0
10 1196 4.0
10 1197 4.0
10 1198 4.0
10 1200 4.0
10 1210 4.0
10 1220 3.0
10 1240 4.0
10 1291 4.0
10 1358 5.0
10 1423 4.0
10 1459 3.0
10 1499 3.0
10 1611 5.0
10 1690 3.0
10 1704 4.0
10 1719 5.0
10 1887 2.0
10 1923 5.0
10 2108 3.0
10 2344 5.0
10 2406 4.0
10 2410 2.0
10 2539 4.0
10 2571 5.0
10 2826 5.0
10 2827 3.0
10 2840 3.0
10 2841 4.0
10 2881 3.0
10 2890 4.0
10 2907 2.0
10 2926 5.0
10 2995 2.0
10 3005 3.0
10 3019 4.0
11 50 5.0
11 70 1.0
11 126 4.0
11 169 3.0
11 296 5.0
11 778 4.5
11 785 3.5
11 923 5.0
11 1027 4.5
11 1201 5.0
11 1408 5.0
11 1918 3.0
11 2042 3.5
11 2596 4.5
11 2762 3.0
11 3424 3.0
11 5669 3.0
11 6598 5.0
11 26614 5.0
11 48516 5.0
11 51084 4.0
11 58295 4.5
11 71211 3.5
11 77455 4.5
11 79132 4.0
11 80489 4.5
11 80906 3.0
11 81158 4.0
11 81562 3.5
11 88129 4.0
11 91500 4.5
11 91529 4.5
11 91548 4.0
11 96079 4.0
11 96861 4.0
11 97938 4.0
11 104841 5.0
11 106487 5.0
12 253 3.0
12 529 1.0
12 538 3.0
12 608 2.0
12 673 1.0
12 736 4.0
12 737 3.0
12 1028 1.0
12 1032 2.0
12 1077 3.0
12 1197 1.0
12 1215 5.0
12 1220 5.0
12 1230 2.0
12 1235 5.0
12 1295 1.0
12 1374 1.0
12 1387 4.0
12 1639 2.0
12 1732 3.0
12 2259 2.0
12 2355 2.0
12 2460 4.0
12 2529 1.0
12 2668 2.0
12 2959 4.0
12 3146 2.0
12 3148 1.0
12 3176 3.0
12 3179 2.0
12 3298 4.0
12 3324 1.0
12 3408 4.0
12 3474 4.0
12 3770 3.0
12 3773 2.0
12 3780 2.0
12 3791 1.0
12 3793 5.0
12 3794 3.0
12 3798 4.0
12 3799 1.0
12 3801 3.0
12 3809 3.0
12 3825 5.0
12 3827 2.0
12 3829 2.0
12 3831 4.0
12 3841 2.0
12 3844 1.0
12 3861 3.0
12 3863 5.0
12 3864 3.0
12 3865 5.0
12 3869 2.0
12 3871 2.0
12 3873 3.0
12 3879 5.0
12 3885 3.0
12 3886 2.0
12 6184 4.0
13 1 5.0
13 47 2.5
13 110 4.0
13 277 4.0
13 296 3.5
13 318 4.5
13 356 5.0
13 362 4.5
13 480 3.0
13 524 3.5
13 527 4.0
13 531 4.0
13 587 3.0
13 590 4.0
13 914 4.0
13 919 3.5
13 1027 3.0
13 1259 4.0
13 1265 2.5
13 1918 3.0
13 1961 4.0
13 2355 4.0
13 2571 3.0
13 2572 3.5
13 2761 4.0
13 2762 3.0
13 2804 3.0
13 2908 3.0
13 2918 3.0
13 3114 3.0
13 3147 4.0
13 3255 3.5
13 3396 3.5
13 3624 3.0
13 4306 4.0
13 4310 4.5
13 4321 2.5
13 4718 3.5
13 4878 4.5
13 4886 3.5
13 4993 4.5
13 5989 4.0
13 6377 4.5
13 7361 4.0
13 54286 3.5
13 58559 4.5
13 64614 4.5
13 69757 4.0
13 78499 4.0
13 81834 4.5
13 88125 4.5
13 93363 3.0
14 594 1.0
14 1196 4.0
14 1721 3.0
14 2038 3.0
14 2355 2.0
14 2394 3.0
14 2628 3.0
14 2683 2.0
14 2716 3.0
14 2720 2.0
14 2724 3.0
14 2861 2.0
14 3114 4.0
14 3157 2.0
14 3175 5.0
14 3354 3.0
14 3623 3.0
14 3751 4.0
14 3986 3.0
14 3988 4.0
15 1 2.0
15 2 2.0
15 5 4.5
15 6 4.0
15 10 3.0
15 11 2.5
15 14 2.5
15 16 3.5
15 17 3.0
15 19 1.0
15 21 4.5
15 22 2.5
15 25 3.0
15 32 4.0
15 34 3.0
15 36 1.0
15 39 2.5
15 44 3.0
15 47 5.0
15 50 5.0
15 52 2.5
15 62 2.0
15 70 0.5
15 82 5.0
15 94 3.0
15 95 1.5
15 101 4.0
15 104 1.0
15 107 2.0
15 110 3.0
15 111 5.0
15 112 2.5
15 123 4.0
15 125 3.5
15 145 3.5
15 149 5.0
15 150 3.0
15 153 1.0
15 157 2.0
15 160 0.5
15 161 3.0
15 162 4.0
15 163 2.0
15 164 4.0
15 165 3.0
15 170 2.5
15 172 1.0
15 175 4.0
15 176 4.0
15 180 3.0
15 185 2.0
15 193 1.0
15 196 2.0
15 198 1.5
15 208 1.5
15 214 2.0
15 215 4.5
15 216 1.0
15 223 4.0
15 225 1.0
15 230 1.0
15 231 3.5
15 232 4.0
15 233 4.0
15 235 4.0
15 237 3.5
15 246 5.0
15 247 2.0
15 252 2.0
15 253 2.0
15 260 5.0
15 265 1.0
15 288 2.0
15 292 1.0
15 293 5.0
15 296 5.0
15 300 4.0
15 306 5.0
15 307 4.0
15 308 4.0
15 316 3.0
15 317 1.0
15 318 2.0
15 322 2.5
15 329 1.5
15 335 2.0
15 339 2.5
15 342 3.0
15 344 2.0
15 349 3.0
15 353 3.0
15 355 0.5
15 356 1.0
15 357 3.5
15 364 4.0
15 367 2.0
15 370 3.5
15 371 2.0
15 372 3.0
15 373 3.5
15 377 4.0
15 380 4.0
15 382 3.5
15 429 1.0
15 431 4.0
15 434 3.0
15 435 1.0
15 440 2.5
15 441 4.0
15 442 1.0
15 454 3.0
15 457 5.0
15 466 2.5
15 471 3.0
15 474 3.0
15 480 3.0
15 481 3.0
15 483 1.0
15 485 0.5
15 494 4.0
15 500 3.0
15 508 1.5
15 509 2.0
15 520 3.5
15 524 2.5
15 527 4.0
15 535 3.0
15 539 2.0
15 540 1.5
15 541 5.0
15 543 3.0
15 549 5.0
15 551 2.0
15 555 4.0
15 556 3.5
15 562 3.0
15 574 3.0
15 586 2.0
15 587 1.0
15 588 0.5
15 589 4.0
15 590 3.0
15 592 4.0
15 593 5.0
15 594 2.5
15 597 2.5
15 608 5.0
15 610 3.0
15 628 2.5
15 647 1.5
15 648 4.0
15 663 2.0
15 665 3.0
15 674 3.0
15 680 2.0
15 708 3.0
15 724 2.0
15 733 3.5
15 736 1.0
15 745 3.0
15 748 2.5
15 750 4.0
15 762 2.0
15 778 4.0
15 780 2.5
15 784 2.5
15 785 3.0
15 786 0.5
15 788 1.5
15 799 3.0
15 800 5.0
15 802 1.0
15 803 4.5
15 804 3.5
15 832 1.0
15 836 2.0
15 851 4.0
15 858 5.0
15 866 4.0
15 899 5.0
15 903 5.0
15 904 5.0
15 908 5.0
15 909 4.0
15 910 2.5
15 911 4.0
15 912 5.0
15 913 4.0
15 914 1.5
15 916 1.0
15 919 3.0
15 920 3.5
15 922 1.0
15 923 5.0
15 924 5.0
15 926 3.0
15 931 1.0
15 953 3.0
15 994 4.0
15 1020 2.0
15 1035 2.0
15 1036 4.0
15 1041 5.0
15 1047 2.5
15 1059 1.5
15 1060 4.0
15 1073 3.0
15 1079 4.0
15 1084 3.0
15 1088 2.0
15 1089 4.0
15 1092 2.5
15 1093 2.0
15 1094 4.0
15 1095 4.0
15 1097 4.0
15 1100 2.5
15 1101 3.0
15 1120 1.0
15 1127 4.0
15 1131 2.5
15 1136 2.5
15 1147 3.5
15 1148 3.0
15 1171 4.0
15 1173 3.0
15 1176 4.0
15 1178 3.0
15 1179 4.0
15 1183 2.0
15 1186 4.5
15 1189 3.5
15 1193 5.0
15 1196 5.0
15 1197 1.0
15 1198 4.0
15 1199 1.0
15 1200 4.0
15 1201 3.5
15 1203 4.0
15 1204 2.0
15 1206 5.0
15 1207 3.0
15 1208 5.0
15 1209 4.5
15 1210 5.0
15 1211 1.5
15 1212 3.0
15 1213 3.0
15 1214 4.0
15 1215 1.5
15 1217 2.0
15 1218 4.0
15 1219 3.0
15 1220 1.0
15 1221 5.0
15 1222 4.0
15 1223 4.0
15 1225 4.0
15 1228 4.0
15 1230 3.0
15 1231 4.0
15 1233 3.0
15 1234 4.0
15 1235 3.5
15 1240 3.0
15 1243 2.0
15 1244 5.0
15 1246 1.0
15 1247 5.0
15 1248 3.0
15 1249 3.0
15 1250 4.0
15 1251 3.0
15 1252 5.0
15 1254 3.5
15 1258 4.0
15 1259 3.0
15 1260 3.0
15 1262 1.5
15 1263 4.0
15 1264 3.0
15 1265 4.0
15 1266 4.0
15 1267 5.0
15 1270 5.0
15 1272 3.5
15 1276 2.5
15 1280 3.0
15 1281 1.0
15 1283 3.0
15 1284 3.0
15 1287 2.0
15 1288 4.0
15 1289 4.0
15 1290 3.0
15 1291 4.0
15 1293 4.0
15 1297 4.0
15 1302 3.0
15 1303 2.0
15 1304 3.0
15 1307 5.0
15 1320 3.0
15 1333 2.0
15 1334 2.0
15 1339 2.0
15 1342 2.0
15 1356 2.0
15 1358 1.0
15 1361 3.5
15 1370 3.0
15 1377 3.0
15 1380 2.5
15 1385 3.0
15 1387 4.0
15 1391 0.5
15 1393 3.5
15 1394 4.0
15 1396 4.0
15 1405 3.0
15 1407 5.0
15 1449 4.0
15 1464 4.0
15 1466 4.0
15 1476 3.0
15 1479 1.5
15 1483 3.0
15 1484 3.0
15 1485 3.0
15 1500 3.0
15 1502 1.5
15 1503 1.0
15 1513 2.0
15 1517 3.0
15 1527 1.0
15 1529 3.0
15 1544 1.0
15 1546 4.0
15 1552 1.5
15 1556 2.5
15 1562 1.5
15 1569 3.5
15 1573 4.0
15 1580 4.0
15 1584 4.0
15 1589 2.0
15 1597 2.0
15 1608 1.0
15 1610 3.0
15 1615 3.0
15 1616 3.0
15 1617 5.0
15 1625 4.0
15 1635 4.0
15 1639 4.0
15 1644 1.5
15 1645 3.0
15 1649 2.0
15 1653 3.0
15 1663 3.0
15 1673 3.0
15 1676 4.0
15 1680 3.0
15 1682 2.0
15 1689 4.5
15 1690 1.0
15 1694 3.0
15 1704 4.0
15 1717 4.0
15 1719 4.0
15 1721 1.5
15 1722 3.5
15 1729 1.0
15 1732 3.5
15 1735 0.5
15 1747 3.5
15 1748 4.0
15 1752 3.5
15 1753 1.0
15 1754 3.5
15 1777 2.0
15 1779 1.0
15 1784 3.0
15 1792 3.0
15 1805 3.0
15 1807 1.5
15 1810 2.5
15 1816 2.5
15 1827 4.0
15 1831 2.0
15 1834 3.5
15 1836 2.0
15 1845 4.0
15 1859 5.0
15 1860 4.0
15 1862 2.0
15 1876 2.0
15 1882 1.5
15 1883 4.0
15 1889 3.0
15 1895 2.5
15 1897 1.5
15 1904 3.5
15 1909 2.0
15 1912 5.0
15 1914 3.5
15 1917 2.0
15 1921 4.0
15 1923 4.5
15 1945 4.0
15 1950 3.0
15 1952 3.0
15 1953 3.0
15 1954 3.0
15 1955 4.5
15 1956 4.0
15 1961 3.5
15 1962 3.0
15 1964 3.0
15 1968 4.0
15 1994 2.5
15 1997 5.0
15 2000 3.0
15 2003 3.0
15 2005 4.0
15 2006 4.0
15 2010 3.0
15 2011 3.0
15 2012 1.0
15 2018 2.0
15 2019 4.5
15 2020 2.5
15 2025 2.0
15 2028 3.0
15 2041 2.0
15 2054 2.0
15 2058 2.5
15 2060 2.0
15 2064 4.5
15 2076 3.0
15 2100 2.0
15 2105 4.0
15 2108 4.5
15 2115 4.0
15 2124 2.0
15 2126 1.0
15 2133 3.5
15 2134 3.5
15 2140 3.0
15 2145 2.0
15 2150 3.0
15 2160 3.0
15 2161 3.0
15 2167 3.0
15 2174 4.0
15 2186 3.0
15 2194 4.0
15 2231 3.0
15 2232 4.0
15 2243 4.5
15 2248 3.5
15 2268 1.0
15 2269 2.5
15 2273 2.5
15 2278 2.5
15 2282 0.5
15 2288 3.0
15 2289 4.0
15 2291 3.0
15 2294 2.0
15 2302 3.5
15 2303 3.0
15 2311 2.0
15 2313 3.5
15 2318 4.5
15 2321 3.5
15 2324 2.0
15 2329 1.0
15 2333 3.0
15 2334 3.0
15 2336 2.0
15 2340 2.0
15 2351 1.0
15 2353 0.5
15 2355 2.0
15 2357 3.0
15 2360 2.0
15 2366 3.0
15 2369 1.0
15 2371 3.5
15 2378 3.0
15 2387 3.5
15 2391 3.0
15 2395 5.0
15 2396 2.0
15 2405 3.0
15 2406 3.5
15 2407 3.0
15 2413 4.5
15 2424 1.5
15 2427 3.0
15 2428 1.0
15 2439 2.0
15 2447 2.5
15 2455 3.5
15 2467 1.0
15 2478 4.0
15 2490 1.0
15 2501 3.0
15 2502 5.0
15 2505 0.5
15 2528 2.0
15 2539 2.5
15 2541 1.0
15 2542 1.0
15 2560 3.0
15 2568 0.5
15 2571 5.0
15 2572 5.0
15 2574 1.0
15 2575 3.0
15 2579 2.5
15 2580 3.0
15 2581 1.0
15 2585 1.0
15 2594 4.0
15 2598 1.5
15 2599 3.0
15 2600 3.0
15 2605 1.0
15 2617 1.0
15 2624 3.0
15 2628 2.5
15 2640 4.0
15 2648 3.0
15 2657 2.0
15 2671 4.0
15 2678 1.0
15 2683 1.0
15 2686 3.0
15 2692 3.0
15 2699 3.0
15 2700 3.0
15 2701 1.0
15 2702 1.5
15 2706 3.0
15 2707 3.0
15 2709 1.0
15 2710 1.0
15 2712 4.0
15 2713 1.0
15 2716 4.0
15 2717 3.5
15 2718 1.5
15 2722 2.0
15 2723 1.0
15 2726 2.5
15 2729 3.0
15 2759 1.0
15 2761 2.0
15 2762 1.0
15 2763 1.0
15 2769 2.0
15 2770 4.0
15 2791 4.0
15 2795 3.5
15 2797 4.0
15 2803 1.5
15 2819 3.0
15 2840 1.0
15 2841 2.0
15 2858 4.0
15 2871 4.0
15 2881 1.0
15 2890 4.0
15 2905 4.0
15 2908 1.0
15 2912 4.0
15 2915 1.5
15 2916 4.0
15 2918 4.0
15 2925 4.0
15 2947 5.0
15 2949 4.0
15 2952 1.0
15 2959 5.0
15 2973 4.0
15 2976 2.0
15 2983 4.0
15 2985 3.0
15 2987 4.0
15 2990 3.5
15 2993 4.0
15 2997 5.0
15 3000 4.0
15 3004 1.0
15 3005 1.0
15 3006 5.0
15 3007 2.5
15 3008 2.0
15 3010 4.0
15 3019 3.0
15 3020 3.0
15 3030 4.0
15 3033 4.0
15 3039 4.0
15 3044 3.0
15 3052 3.0
15 3060 4.0
15 3077 3.0
15 3081 1.0
15 3082 3.0
15 3083 5.0
15 3089 3.0
15 3101 4.0
15 3104 4.0
15 3107 3.0
15 3108 4.0
15 3113 2.0
15 3114 1.0
15 3128 4.0
15 3129 3.5
15 3134 1.0
15 3146 1.5
15 3147 1.0
15 3148 1.0
15 3150 3.0
15 3152 3.0
15 3157 1.0
15 3160 3.0
15 3168 2.5
15 3173 2.5
15 3174 1.0
15 3175 4.0
15 3176 2.0
15 3181 1.0
15 3182 2.0
15 3185 2.0
15 3210 5.0
15 3219 2.0
15 3225 1.0
15 3246 4.0
15 3250 2.0
15 3253 3.0
15 3255 2.0
15 3256 2.0
15 3261 4.0
